open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1751328000000,107096.57111594,107096.74133333,107070.68807246,107083.40000000,0,1751328059999,0,60,0,0,0
1751328060000,107083.40000000,107087.60000000,107064.90608333,107087.60000000,0,1751328119999,0,60,0,0,0
1751328120000,107087.60000000,107099.80000000,107073.73013406,107099.80000000,0,1751328179999,0,60,0,0,0
1751328180000,107099.80000000,107114.10000000,107099.70000000,107114.10000000,0,1751328239999,0,60,0,0,0
1751328240000,107114.10000000,107114.40516667,107080.53073551,107085.81530072,0,1751328299999,0,60,0,0,0
1751328300000,107085.81530072,107093.30000000,107041.51355072,107050.10000000,0,1751328359999,0,60,0,0,0
1751328360000,107050.10000000,107104.80000000,107039.40000000,107102.50000000,0,1751328419999,0,60,0,0,0
1751328420000,107098.20000000,107126.40224638,107078.94269344,107125.39944203,0,1751328479999,0,60,0,0,0
1751328480000,107125.16465942,107144.75579348,107125.16465942,107137.40000000,0,1751328539999,0,60,0,0,0
1751328540000,107138.40000000,107195.70000000,107138.40000000,107195.70000000,0,1751328599999,0,60,0,0,0
1751328600000,107196,107214.90000000,107167.59585114,107175.80000000,0,1751328659999,0,60,0,0,0
1751328660000,107175.80000000,107221.20000000,107175.80000000,107221.20000000,0,1751328719999,0,60,0,0,0
1751328720000,107221.20000000,107253.86727174,107221.10000000,107253.86727174,0,1751328779999,0,60,0,0,0
1751328780000,107253.30000000,107314.30000000,107253.20000000,107302.58832246,0,1751328839999,0,60,0,0,0
1751328840000,107302.58897464,107302.58897464,107277.50000000,107277.50000000,0,1751328899999,0,60,0,0,0
1751328900000,107277.50000000,107296.24696014,107275.09708333,107296.24043841,0,1751328959999,0,60,0,0,0
1751328960000,107296.23978623,107385,107295.88493116,107378.86662319,0,1751329019999,0,60,0,0,0
1751329020000,107379.42822771,107390.60000000,107328.10428623,107328.10428623,0,1751329079999,0,60,0,0,0
1751329080000,107339.70000000,107383.90000000,107339.70000000,107379.90000000,0,1751329139999,0,60,0,0,0
1751329140000,107381.66501105,107383.34656884,107373.23882971,107374.29328261,0,1751329199999,0,60,0,0,0
1751329200000,107377.39671739,107408.20000000,107377.39671739,107397.55868116,0,1751329259999,0,60,0,0,0
1751329260000,107399.11476812,107399.11476812,107380.82614493,107382.09723188,0,1751329319999,0,60,0,0,0
1751329320000,107382.24071014,107382.24071014,107367,107367.30000000,0,1751329379999,0,60,0,0,0
1751329380000,107367.40000000,107367.40000000,107308.48621377,107308.48621377,0,1751329439999,0,60,0,0,0
1751329440000,107308.48556159,107308.48556159,107207.80000000,107207.80000000,0,1751329499999,0,60,0,0,0
1751329500000,107207.80000000,107207.90000000,107104.88244928,107137,0,1751329559999,0,60,0,0,0
1751329560000,107136.90000000,107164,107120.64507971,107120.64507971,0,1751329619999,0,60,0,0,0
1751329620000,107119.69720652,107119.69720652,107111.30000000,107112.26154016,0,1751329679999,0,60,0,0,0
1751329680000,107112.26219234,107133.60000000,107109.62775000,107130.68937681,0,1751329739999,0,60,0,0,0
1751329740000,107130.49502899,107133.60000000,107116.93472826,107116.94777174,0,1751329799999,0,60,0,0,0
1751329800000,107116.73538043,107116.73538043,107033.17331159,107033.17331159,0,1751329859999,0,60,0,0,0
1751329860000,107033.17852899,107038.50000000,106991.36299638,107036.50000000,0,1751329919999,0,60,0,0,0
1751329920000,107036.40000000,107056.80000000,107036.40000000,107056.70000000,0,1751329979999,0,60,0,0,0
1751329980000,107056.80000000,107056.80000000,106981.28053986,107022.30000000,0,1751330039999,0,60,0,0,0
1751330040000,107016.21640217,107087.80000000,107010.95161957,107087.80000000,0,1751330099999,0,60,0,0,0
1751330100000,107087.70000000,107198.23616667,107087.70000000,107195.09529710,0,1751330159999,0,60,0,0,0
